id,id_municipio,id_provincia,gau,provincia,distrito,municipio,poblacion
"0401307","04013","4",GAU Almería,Almería,Almería distrito 07,Almería,"75276.0"
"0401308","04013","4",GAU Almería,Almería,Almería distrito 08,Almería,"17327.0"
"04016","04016","4","04016",Almería,Antas,Antas,"3355.0"
04017_AM,04017_AM,"4",04017_AM,Almería,Arboleas agregacion de municipios,Arboleas agregacion de municipios,"8576.0"
"04024","04024","4",GAU Almería,Almería,Benahadux,Benahadux,"4526.0"
"0402901","04029","4","04029",Almería,Berja distrito 01,Berja,"9141.0"
"0402902","04029","4","04029",Almería,Berja distrito 02,Berja,"3567.0"
"04031","04031","4","04031",Almería,Cantoria,Cantoria,"3547.0"
"04032","04032","4","04032",Almería,Carboneras,Carboneras,"8183.0"
"04035","04035","4","04035",Almería,Cuevas del Almanzora,Cuevas del Almanzora,"14623.0"
"04038","04038","4","04038",Almería,Dalías,Dalías,"4102.0"
04044_AM,04044_AM,"4",04044_AM,Almería,Fines agregacion de municipios,Fines agregacion de municipios,"4519.0"
04045_AM,04045_AM,"4",04045_AM,Almería,Fiñana agregacion de municipios,Fiñana agregacion de municipios,"5568.0"
04047_AM,04047_AM,"4",04047_AM,Almería,Gádor agregacion de municipios,Gádor agregacion de municipios,"4973.0"
04048_AM,04048_AM,"4",04048_AM,Almería,"Gallardos, Los agregacion de municipios","Gallardos, Los agregacion de municipios","5466.0"
"0404901","04049","4","04049",Almería,Garrucha distrito 01,Garrucha,"4437.0"
"0404902","04049","4","04049",Almería,Garrucha distrito 02,Garrucha,"5438.0"
04050_AM,04050_AM,"4",04050_AM,Almería,Gérgal agregacion de municipios,Gérgal agregacion de municipios,"5350.0"
"04052","04052","4",GAU Almería,Almería,Huércal de Almería,Huércal de Almería,"17974.0"
"04053","04053","4","04053",Almería,Huércal-Overa,Huércal-Overa,"19744.0"
04057_AM,04057_AM,"4",04057_AM,Almería,Láujar de Andarax agregacion de municipios,Láujar de Andarax agregacion de municipios,"6119.0"
04062_AM,04062_AM,"4",04062_AM,Almería,Macael agregacion de municipios,Macael agregacion de municipios,"6223.0"
"04064","04064","4","04064",Almería,Mojácar,Mojácar,"7257.0"
"0406601","04066","4","04066",Almería,Níjar distrito 01,Níjar,"24026.0"
"0406602","04066","4","04066",Almería,Níjar distrito 02,Níjar,"3538.0"
"0406603","04066","4","04066",Almería,Níjar distrito 03,Níjar,"3894.0"
"04069","04069","4","04069",Almería,Olula del Río,Olula del Río,"6258.0"
04070_AM,04070_AM,"4",04070_AM,Almería,Oria agregacion de municipios,Oria agregacion de municipios,"5749.0"
"04074","04074","4",GAU Almería,Almería,Pechina,Pechina,"4143.0"
"0407501","04075","4","04075",Almería,Pulpí distrito 01,Pulpí,"5472.0"
"0407502","04075","4","04075",Almería,Pulpí distrito 02,Pulpí,"4870.0"
"0407901","04079","4",GAU Roquetas de Mar,Almería,Roquetas de Mar distrito 01,Roquetas de Mar,"39299.0"
"0407902","04079","4",GAU Roquetas de Mar,Almería,Roquetas de Mar distrito 02,Roquetas de Mar,"59426.0"
04083_AM,04083_AM,"4",04083_AM,Almería,Serón agregacion de municipios,Serón agregacion de municipios,"3049.0"
04086_AM,04086_AM,"4",04086_AM,Almería,Sorbas agregacion de municipios,Sorbas agregacion de municipios,"3871.0"
04088_AM,04088_AM,"4",04088_AM,Almería,Tabernas agregacion de municipios,Tabernas agregacion de municipios,"6066.0"
"04092","04092","4","04092",Almería,Tíjola,Tíjola,"3528.0"
"04093","04093","4","04093",Almería,Turre,Turre,"3892.0"
04098_AM,04098_AM,"4",04098_AM,Almería,Vélez-Blanco agregacion de municipios,Vélez-Blanco agregacion de municipios,"4682.0"
"04099","04099","4","04099",Almería,Vélez-Rubio,Vélez-Rubio,"6521.0"
"0410001","04100","4","04100",Almería,Vera distrito 01,Vera,"2975.0"
"0410002","04100","4","04100",Almería,Vera distrito 02,Vera,"3586.0"
"0410003","04100","4","04100",Almería,Vera distrito 03,Vera,"7338.0"
"0410004","04100","4","04100",Almería,Vera distrito 04,Vera,"3801.0"
"04101","04101","4",GAU Almería,Almería,Viator,Viator,"6039.0"
"04102","04102","4","04102",Almería,Vícar,Vícar,"27398.0"
"04902","04902","4",GAU El Ejido,Almería,"Ejido, El","Ejido, El","84005.0"
"04904","04904","4","04904",Almería,Balanegra,Balanegra,"2959.0"
05002_AM,05002_AM,"5",05002_AM,Ávila,"Adrada, La agregacion de municipios","Adrada, La agregacion de municipios","4893.0"
05013_AM,05013_AM,"5",05013_AM,Ávila,"Arenal, El agregacion de municipios","Arenal, El agregacion de municipios","4665.0"
